Title,Discretionary-Mandatory,Spend-Category,Agency,Bureau,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Abandoned mine reclamation fund,Discretionary,Nondefense,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,155,160,143,145,149,152,155,158,162,165,168
Abandoned mine reclamation fund,Mandatory,Other Spending,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,170,171,167,149,139,137,137,137,137,137,137
"Service charges, deposits, and forfeitures",Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Land Management,0,0,0,0,0,0,0,0,0,0,0
Land acquisition,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,61,62,63,63,65,67,68,70,71,73,75
Land acquisition,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Land Management,25,26,26,27,27,28,29,29,30,31,31
Range improvements,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,9,10,10,10,10,10,10,10,10,10,10
Cooperative endangered species conservation fund,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,54,55,54,55,55,56,58,59,60,61,63
Cooperative endangered species conservation fund,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,70,70,70,70,70,70,70,70,70,70,70
North American wetlands conservation fund,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,35,38,41,41,42,43,44,44,45,46,47
North American wetlands conservation fund,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,6,5,5,5,5,5,5,5,5,5,5
"National Forests Fund, Payment to States                        ",Mandatory,Other Spending,Department of the Interior                                      ,Departmental Offices                                            ,8,8,8,8,9,9,9,9,9,9,10
"Leases of Lands Acquired for Flood Control, Navigation, and Alli",Mandatory,Other Spending,Department of the Interior                                      ,Departmental Offices                                            ,17,20,20,21,21,22,22,23,23,24,24
State Wildlife Grants                                           ,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,63,62,63,64,66,67,69,70,71,73,74
States Share from Certain Gulf of Mexico Leases                 ,Mandatory,Other Spending,Department of the Interior                                      ,Departmental Offices                                            ,303,376,404,430,376,376,376,376,376,376,376
Contributed funds,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,4,4,4,4,4,4,4,4,4,4,4
Oil Spill Research                                              ,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Safety and Environmental Enforcement                  ,16,16,16,16,17,17,17,18,18,19,19
Miscellaneous permanent payment accounts,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,27,29,29,29,29,29,29,29,29,29,29
Permanent operating funds,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,120,179,198,213,225,241,244,249,235,238,240
Miscellaneous permanent appropriations,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,4,4,4,4,4,4,4,4,4,4,4
Miscellaneous trust funds,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,24,24,24,24,24,24,24,24,24,24,24
Interior Mineral Receipts,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,"-3,450","-3,330","-3,360","-4,660","-3,500","-3,600","-4,280","-3,760","-3,780","-3,800","-3,850"
Land and Resources Trust Fund,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25
Interior Miscellaneous,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
USFWS trust receipts,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
Interior Timber,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,-78,-82,-87,-90,-94,-96,-98,-100,-103,-106,-109
General fund appropriations to FWS special funds,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70
Southern Nevada public land management,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,-125,-125,-125,-125,-125,-125,-125,-125,-125,-125,-125
"Rents, charges and sales, Fish and Wildlife Service",Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
Natural resources damages from legal actions,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,-597,-597,-597,-597,-597,-597,-597,-597,-597,-597,-597
International fisheries commissions,Discretionary,Nondefense,Department of State                                             ,International Commissions,41,45,48,49,50,51,52,53,54,55,56
Salaries and Expenses                                           ,Discretionary,Nondefense,Marine Mammal Commission                                        ,Marine Mammal Commission                                        ,2,3,3,3,3,3,4,4,4,4,4
Forest Service permanent appropriations,Mandatory,Other Spending,Department of Agriculture                                       ,Forest Service,79,85,90,90,90,90,90,90,90,90,90
"Recreation use Fees, Forest Service",Mandatory,Offsetting receipts,Department of Agriculture                                       ,Department of Agriculture,0,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90
Forest service recreational fee demo program,Mandatory,Offsetting receipts,Department of Agriculture                                       ,Department of Agriculture,-90,0,0,0,0,0,0,0,0,0,0
Operation of the national park system,Discretionary,Nondefense,Department of the Interior                                      ,National Park Service,"2,448","2,536","2,626","2,705","2,789","2,869","2,948","3,039","3,132","3,230","3,330"
Construction (and Major Maintenance)                            ,Discretionary,Nondefense,Department of the Interior                                      ,National Park Service,296,351,369,379,367,373,380,390,399,409,418
